Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
0.003375,0.020408,0.013817,0.061224,0.222222,1
0.009561,0.008896,0.013694,0.102041,0.110294,1
0.00225,0.008282,0.013345,0.040816,0.375,1
0.008436,0.089286,0.013263,0.142857,0.086154,1
0,0,0.012956,0,0,0
0.773341,0.37415,1,0.612245,0.002276,0
0.41901,0.187705,0.971813,0.530612,0.005467,0
1,0.287982,0.95654,0.591837,0.002325,0
0.465692,0.277666,0.920092,0.367347,0.006577,0
0,0,0.903118,0,0,0
0.216535,0.035054,0.042681,0.653061,0.004159,2
0.015748,0.074074,0.68662,0.102041,0.093017,1
0.006187,0.52381,0.686046,0.040816,0.297521,1
0.151856,0.151261,0.68582,0.183673,0.018748,1
0.410011,0.324433,0.680285,0.142857,0.018085,1
0.424072,0.34859,0.665341,0.244898,0.005383,1
0.009561,0.809524,0.649884,0.061224,0.330882,1
0.706412,0.188674,0.649536,0.367347,0.00188,1
0,0,0.623788,0,0,0
0,0,0.099362,0,0,0
0,0,0.099362,0,0,0
0,0,0.099362,0,0,0
0,0,0.099362,0,0,0
0.001125,0.02381,0.099362,0.020408,1,1
0.003375,0.071429,0.099321,0.102041,0.185185,1
0.001687,0.020408,0.099198,0.061224,0.333333,1
0,0,0.099137,0,0,0
0.000562,0.006803,0.099137,0.020408,1,2
0,0,0.099116,0,0,0
0.001125,0.02381,0.099116,0.040816,0.5,2
0,0,0.099075,0,0,0
0,0,0.099075,0,0,0
0,0,0.099075,0,0,0
0,0,0.099075,0,0,0
0.001687,0.035714,0.099075,0.040816,0.444444,2
0.001687,0.047619,0.099014,0.040816,0.444444,1
0.00225,0.047619,0.098952,0.020408,1,1
0.001125,0.013605,0.09887,0.040816,0.5,0
0.000562,0.015873,0.098829,0.020408,1,0
0.001125,0.02381,0.098809,0.020408,1,1
0.000562,0.015873,0.098768,0.020408,1,0
0.000562,0.011905,0.098747,0.020408,1,2
0.000562,0.047619,0.098727,0.020408,1,0
0.001125,0.095238,0.098706,0.040816,0.5,1
0,0,0.098665,0,0,0
0.000562,0.011905,0.098665,0.020408,1,2
0.001687,0.047619,0.098645,0.040816,0.444444,1
0.000562,0.011905,0.098583,0.020408,1,2
0.001125,0.095238,0.098563,0.040816,0.5,1
0.001125,0.095238,0.098522,0.020408,1,0
0,0,0.098481,0,0,0
0.00225,0.047619,0.098481,0.061224,0.3,2
0.001125,0.031746,0.098399,0.040816,0.5,0
0,0,0.098358,0,0,0
0.001125,0.047619,0.098358,0.040816,0.5,2
0.001125,0.047619,0.098317,0.040816,0.5,1
0,0,0.098276,0,0,0
0,0,0.098276,0,0,0
0,0,0.098276,0,0,0
0,0,0.098276,0,0,0
0.001125,0.031746,0.098276,0.040816,0.5,1
0.000562,0.009524,0.098235,0.020408,1,0
0.000562,0.02381,0.098214,0.020408,1,0
0,0,0.098194,0,0,0
0,0,0.098194,0,0,0
0,0,0.098194,0,0,0
0.003375,0.047619,0.098194,0.081633,0.222222,2
0,0,0.098071,0,0,0
0,0,0.098071,0,0,0
0.001687,0.028571,0.098071,0.040816,0.444444,2
0,0,0.098009,0,0,0
0,0,0.098009,0,0,0
0,0,0.098009,0,0,0
0.000562,0.047619,0.098009,0.020408,1,2
0.001687,0.02381,0.097989,0.040816,0.444444,2
0.001125,0.095238,0.097927,0.020408,1,1
0,0,0.097886,0,0,0
0,0,0.097886,0,0,0
0,0,0.097886,0,0,0
0.001687,0.071429,0.097886,0.040816,0.444444,2
0,0,0.097825,0,0,0
0.001687,0.142857,0.097825,0.061224,0.333333,0
0.001125,0.02381,0.097763,0.040816,0.5,0
0.000562,0.011905,0.097722,0.020408,1,0
0.001125,0.031746,0.097702,0.040816,0.5,0
0.001687,0.035714,0.097661,0.061224,0.333333,1
0.000562,0.015873,0.097599,0.020408,1,0
0.003937,0.025641,0.097579,0.081633,0.175824,1
0.000562,0.005952,0.097435,0.020408,1,0
0,0,0.097415,0,0,0
0.001125,0.047619,0.097415,0.020408,1,2
0.000562,0.047619,0.097374,0.020408,1,0
0.000562,0.011905,0.097353,0.020408,1,2
0.006187,0.016369,0.097333,0.061224,0.272727,0
0,0,0.097107,0,0,0
0.000562,0.015873,0.097107,0.020408,1,2
0.001687,0.010204,0.097087,0.040816,0.444444,2
0.000562,0.015873,0.097025,0.020408,1,2
0.000562,0.047619,0.097005,0.020408,1,2
0.000562,0.047619,0.096984,0.020408,1,2
0.001687,0.008929,0.096964,0.061224,0.333333,1
0.001687,0.035714,0.096902,0.040816,0.444444,2
0,0,0.096841,0,0,0
0.004499,0.031746,0.096841,0.061224,0.173077,1
0.001125,0.031746,0.096677,0.020408,1,2
0.00225,0.038095,0.096636,0.061224,0.3,2
0.001687,0.142857,0.096554,0.040816,0.444444,1
0.000562,0.005952,0.096492,0.020408,1,0
0.000562,0.011905,0.096472,0.020408,1,0
0.000562,0.02381,0.096451,0.020408,1,2
0.00225,0.031746,0.096431,0.081633,0.25,1
0.00225,0.031746,0.096349,0.020408,1,1
0.001125,0.013605,0.096267,0.040816,0.5,1
0,0,0.096226,0,0,0
0.002812,0.059524,0.096226,0.081633,0.228571,0
0.000562,0.015873,0.096123,0.020408,1,0
0.002812,0.059524,0.096103,0.040816,0.48,1
0.00225,0.063492,0.096,0.061224,0.3,1
0.003375,0.071429,0.095918,0.040816,0.5,0
0.001125,0.095238,0.095795,0.040816,0.5,0
0,0,0.095754,0,0,0
0.001125,0.02381,0.642115,0.040816,0.5,1
0.144544,0.156899,0.642074,0.510204,0.009043,0
0.107987,0.147465,0.636805,0.489796,0.01241,1
0.08324,0.195767,0.632869,0.469388,0.016694,1
0.082677,0.175,0.629835,0.510204,0.013816,0
0.140045,0.17437,0.626822,0.469388,0.011076,0
0.106862,0.137085,0.621717,0.530612,0.01215,0
0.116423,0.10832,0.617823,0.55102,0.009391,0
0.107987,0.138528,0.613579,0.489796,0.011432,1
0.127109,0.173579,0.609643,0.632653,0.008414,1
0.131609,0.156942,0.60501,0.469388,0.009504,1
0.123735,0.166289,0.600213,0.44898,0.011979,0
0.002812,0.238095,0.595703,0.040816,0.48,1
0,0,0.595601,0,0,0
0.091676,0.028328,0.358746,0.306122,0.009045,1
0.04387,0.071429,0.355405,0.102041,0.041947,0
0.011249,0.063492,0.353806,0.102041,0.103448,1
0.166479,0.079634,0.353396,0.306122,0.005887,0
0.128796,0.059589,0.347328,0.367347,0.006617,0
0.016873,0.084034,0.342633,0.102041,0.076319,1
0.055681,0.138655,0.342018,0.183673,0.02807,0
0,0,0.339989,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.044034,0,0,0
0.008999,0.253968,0.044034,0.040816,0.429688,1
0,0,0.043706,0,0,0
0.003937,0.333333,0.043706,0.020408,1,2
0,0,0.043562,0,0,0
0,0,0.043562,0,0,0
0.004499,0.190476,0.043562,0.020408,1,0
0.035996,0.070875,0.043398,0.061224,0.082171,1
0.006749,0.063492,0.042086,0.040816,0.486111,1
0.00225,0.190476,0.04184,0.040816,0.375,1
