Meses,Descripcion,Tratamiento,Repeticion,Index,Bringht,Tipo,Ubicacion,kmeans,Plaga
5,1,2,1,646,1,1,2,2,1
5,1,2,1,486,1,0,3,2,1
5,1,2,1,523,1,1,1,2,1
5,1,2,1,344,1,0,2,0,0
5,1,2,1,614,1,1,1,2,0
5,1,2,1,438,1,0,3,2,0
5,1,2,1,426,1,1,4,2,0
5,1,2,1,392,1,0,1,2,1
5,1,2,1,331,1,1,2,0,1
5,1,2,1,316,1,0,4,0,0
5,1,2,1,537,1,1,1,2,0
5,1,2,1,318,1,0,2,0,0
5,1,2,1,366,2,1,2,0,1
5,1,2,1,358,1,0,3,0,1
5,1,2,1,463,1,1,1,2,1
5,1,2,1,336,2,0,2,0,1
5,1,2,1,553,1,1,3,2,1
5,1,2,1,407,1,0,3,2,1
5,1,2,1,426,2,1,4,2,1
5,1,2,2,547,1,0,1,2,0
5,1,2,2,386,1,1,3,2,1
5,1,2,2,335,2,0,3,0,0
5,1,2,2,900,1,1,2,1,1
5,1,2,2,457,1,0,3,2,0
5,1,2,2,405,1,1,4,2,0
5,1,2,2,302,2,0,4,0,0
5,1,2,2,541,1,1,2,2,1
5,1,2,2,541,1,0,1,2,0
5,1,2,2,540,1,1,2,2,0
5,1,2,2,340,1,0,4,0,0
5,1,2,3,310,1,1,4,0,0
5,1,2,3,260,1,0,3,0,0
5,1,2,3,366,1,1,2,0,1
5,1,2,3,584,1,0,4,2,1
5,1,2,3,430,1,1,1,2,1
5,1,2,3,514,1,0,1,2,1
5,1,2,3,329,1,1,1,0,1
5,1,2,1,317,2,0,1,0,0
5,1,2,1,812,1,1,3,1,1
5,1,2,1,293,5,0,1,0,0
5,1,2,1,740,4,1,4,1,1
5,1,2,1,340,2,0,3,0,0
5,1,2,1,324,4,1,3,0,1
5,1,2,1,300,4,0,3,0,1
5,1,2,1,461,1,1,2,2,1
5,1,2,1,460,5,0,1,2,0
5,1,2,1,442,4,1,3,2,1
5,1,2,1,169,1,0,2,0,1
5,1,2,1,232,2,1,3,0,1
5,1,2,1,437,1,0,2,2,1
5,1,2,1,223,4,1,1,0,1
5,1,2,1,421,4,0,1,2,0
5,1,2,1,515,2,1,1,2,1
5,1,2,1,880,4,0,3,1,1
5,1,2,2,600,2,1,1,2,1
5,1,2,2,590,1,0,4,2,0
5,1,2,2,475,1,1,1,2,1
5,1,2,2,390,1,0,2,2,1
5,1,2,2,766,2,1,1,1,1
5,1,2,2,600,1,0,2,2,1
5,1,2,2,234,2,1,2,0,1
5,1,2,2,511,3,0,4,2,1
5,1,2,2,692,1,1,3,1,1
5,1,2,2,375,1,0,1,0,0
5,1,2,2,175,2,1,4,0,1
5,1,2,2,332,3,0,2,0,0
5,1,2,2,473,1,1,1,2,0
5,1,2,2,536,5,0,1,2,1
5,1,2,2,338,4,1,1,0,1
5,1,2,2,523,3,0,3,2,1
5,1,2,2,728,4,1,3,1,1
5,1,2,2,516,1,0,3,2,0
5,1,2,2,505,1,1,4,2,1
5,1,2,2,578,1,0,4,2,1
5,1,2,3,820,3,1,3,1,1
5,1,2,3,546,1,0,1,2,1
5,1,2,3,330,5,1,2,0,1
5,1,2,3,999,5,0,4,1,0
5,1,2,3,337,1,1,1,0,1
5,1,2,3,953,2,0,3,1,0
5,1,2,3,400,3,1,1,2,1
5,1,2,3,725,5,0,2,1,0
5,1,2,3,600,6,1,4,2,1
5,1,2,3,431,1,0,1,2,0
5,1,2,3,540,3,1,1,2,1
5,1,2,3,314,6,0,1,0,0
5,1,2,3,235,1,1,1,0,1
5,1,2,3,431,1,0,3,2,0
5,1,2,3,506,3,1,1,2,1
5,1,2,3,581,3,0,4,2,0
5,1,2,3,260,6,1,2,0,1
5,1,2,3,303,6,0,3,0,0
5,1,2,3,463,1,1,3,2,0
5,1,2,3,429,1,0,3,2,0
8,1,2,1,700,2,1,1,1,1
8,1,2,1,190,6,0,4,0,0
8,1,2,1,999,2,1,3,1,1
8,1,2,1,62,1,0,3,0,0
8,1,2,2,600,3,1,1,2,1
8,1,2,2,999,4,0,3,1,0
8,1,2,2,316,7,1,3,0,0
8,1,2,2,999,3,0,2,1,0
8,1,2,2,999,6,1,2,1,0
8,1,2,2,409,3,0,3,2,0
8,1,2,2,775,4,1,3,1,1
8,1,2,2,871,2,0,2,1,0
8,1,2,2,500,6,1,2,2,0
8,1,2,3,470,4,0,1,2,0
8,1,2,3,550,6,1,4,2,1
8,1,2,3,542,5,0,2,2,0
8,1,2,3,288,2,1,4,0,0
11,1,2,1,850,3,0,2,1,0
11,1,2,1,999,3,1,4,1,0
11,1,2,1,999,2,0,2,1,1
11,1,2,1,866,4,1,4,1,1
11,1,2,1,571,2,0,3,2,0
11,1,2,1,444,3,1,1,2,0
11,1,2,1,999,2,0,1,1,0
11,1,2,1,733,5,1,4,1,1
11,1,2,1,999,4,0,4,1,0
11,1,2,1,575,5,1,2,2,0
11,1,2,1,577,2,0,2,2,0
11,1,2,1,828,3,1,2,1,1
11,1,2,2,274,5,0,4,0,0
11,1,2,2,966,3,1,1,1,1
11,1,2,2,785,1,0,2,1,0
11,1,2,2,650,2,1,3,2,0
11,1,2,2,755,4,0,1,1,0
11,1,2,2,472,1,1,1,2,0
11,1,2,2,866,2,0,1,1,0
11,1,2,2,999,3,1,2,1,0
11,1,2,2,513,1,0,4,2,0
11,1,2,3,757,4,1,3,1,1
11,1,2,3,650,2,0,4,2,0
